"","ST_CNTY_CODE","included_bc"
"705","37145","within copperhead range"
"706","28151","within copperhead range"
"707","28055","within copperhead range"
"708","48005","within copperhead range"
"709","45081","within copperhead range"
"710","29125","within copperhead range"
"711","05001","within copperhead range"
"712","29109","within copperhead range"
"713","51540","within copperhead range"
"714","39145","within copperhead range"
"715","37115","within copperhead range"
"716","39163","within copperhead range"
"717","48309","within copperhead range"
"718","13181","within copperhead range"
"719","01013","within copperhead range"
"720","47165","within copperhead range"
"721","51097","within copperhead range"
"722","05015","within copperhead range"
"723","51820","within copperhead range"
"724","47061","within copperhead range"
"725","29179","within copperhead range"
"726","51063","within copperhead range"
"727","54005","within copperhead range"
"728","28009","within copperhead range"
"729","21055","within copperhead range"
"730","37151","within copperhead range"
"731","24015","within copperhead range"
"732","18171","within copperhead range"
"733","31095","within copperhead range"
"734","31151","within copperhead range"
"735","21119","within copperhead range"
"736","25001","within copperhead range"
"737","51119","within copperhead range"
"738","42065","within copperhead range"
"739","47003","within copperhead range"
"740","47027","within copperhead range"
"741","17029","within copperhead range"
"742","47097","within copperhead range"
"743","21127","within copperhead range"
"744","21175","within copperhead range"
"745","21177","within copperhead range"
"746","17049","within copperhead range"
"747","47105","within copperhead range"
"748","42109","within copperhead range"
"749","48277","within copperhead range"
"750","48289","within copperhead range"
"751","51595","within copperhead range"
"752","40081","within copperhead range"
"753","13145","within copperhead range"
"754","13251","within copperhead range"
"755","29145","within copperhead range"
"756","18129","within copperhead range"
"757","17035","within copperhead range"
"758","13297","within copperhead range"
"759","51157","within copperhead range"
"760","51009","within copperhead range"
"761","17033","within copperhead range"
"762","13129","within copperhead range"
"763","51580","within copperhead range"
"764","47041","within copperhead range"
"765","42031","within copperhead range"
"766","18031","within copperhead range"
"767","18037","within copperhead range"
"768","51057","within copperhead range"
"769","45089","within copperhead range"
"770","40063","within copperhead range"
"771","51027","within copperhead range"
"772","51005","within copperhead range"
"773","28087","within copperhead range"
"774","18143","within copperhead range"
"775","40101","within copperhead range"
"776","29043","within copperhead range"
"777","28073","within copperhead range"
"778","18137","within copperhead range"
"779","13147","within copperhead range"
"780","22049","within copperhead range"
"781","51133","within copperhead range"
"782","48157","within copperhead range"
"783","17057","within copperhead range"
"784","29119","within copperhead range"
"785","01081","within copperhead range"
"786","13293","within copperhead range"
"787","13013","within copperhead range"
"788","13183","within copperhead range"
"789","40115","within copperhead range"
"790","42033","within copperhead range"
"791","17135","within copperhead range"
"792","28003","within copperhead range"
"793","28071","within copperhead range"
"794","22043","within copperhead range"
"795","29005","within copperhead range"
"796","17055","within copperhead range"
"797","34039","within copperhead range"
"798","01097","within copperhead range"
"799","01057","within copperhead range"
"800","01017","within copperhead range"
"801","37131","within copperhead range"
"802","21087","within copperhead range"
"803","18047","within copperhead range"
"804","37013","within copperhead range"
"805","37159","within copperhead range"
"806","21237","within copperhead range"
"807","48149","within copperhead range"
"808","28015","within copperhead range"
"809","42063","within copperhead range"
"810","22061","within copperhead range"
"811","42099","within copperhead range"
"812","48203","within copperhead range"
"813","40131","within copperhead range"
"814","29019","within copperhead range"
"815","54011","within copperhead range"
"816","05141","within copperhead range"
"817","20035","within copperhead range"
"818","05071","within copperhead range"
"819","51045","within copperhead range"
"820","28085","within copperhead range"
"821","47081","within copperhead range"
"822","28143","within copperhead range"
"823","29081","within copperhead range"
"824","18005","within copperhead range"
"825","13223","within copperhead range"
"826","39015","within copperhead range"
"827","47141","within copperhead range"
"828","25027","within copperhead range"
"829","13079","within copperhead range"
"830","29037","within copperhead range"
"831","36027","within copperhead range"
"832","48477","within copperhead range"
"833","29067","within copperhead range"
"834","37051","within copperhead range"
"835","05129","within copperhead range"
"836","37153","within copperhead range"
"837","37093","within copperhead range"
"838","42023","within copperhead range"
"839","45035","within copperhead range"
"840","47177","within copperhead range"
"841","17023","within copperhead range"
"842","21201","within copperhead range"
"843","47095","within copperhead range"
"844","45015","within copperhead range"
"845","05051","within copperhead range"
"846","20139","within copperhead range"
"847","39155","within copperhead range"
"848","42019","within copperhead range"
"849","20115","within copperhead range"
"850","51029","within copperhead range"
"851","37025","within copperhead range"
"852","29225","within copperhead range"
"853","13291","within copperhead range"
"854","48403","within copperhead range"
"855","39131","within copperhead range"
"856","01125","within copperhead range"
"857","01131","within copperhead range"
"858","28097","within copperhead range"
"859","10003","within copperhead range"
"860","51073","within copperhead range"
"861","05133","within copperhead range"
"862","42101","within copperhead range"
"863","37029","within copperhead range"
"864","05069","within copperhead range"
"865","05079","within copperhead range"
"866","29093","within copperhead range"
"867","48223","within copperhead range"
"868","36001","within copperhead range"
"869","48225","within copperhead range"
"870","39111","within copperhead range"
"871","18107","within copperhead range"
"872","21129","within copperhead range"
"873","47089","within copperhead range"
"874","40097","within copperhead range"
"875","22053","within copperhead range"
"876","40029","within copperhead range"
"877","18051","within copperhead range"
"878","11001","within copperhead range"
"879","28019","within copperhead range"
"880","29079","within copperhead range"
"881","17059","within copperhead range"
"882","45047","within copperhead range"
"883","20059","within copperhead range"
"884","47075","within copperhead range"
"885","28139","within copperhead range"
"886","54051","within copperhead range"
"887","54035","within copperhead range"
"888","24005","within copperhead range"
"889","29163","within copperhead range"
"890","39087","within copperhead range"
"891","29201","within copperhead range"
"892","39001","within copperhead range"
"893","13137","within copperhead range"
"894","13319","within copperhead range"
"895","54061","within copperhead range"
"896","39059","within copperhead range"
"897","29209","within copperhead range"
"898","51760","within copperhead range"
"899","37169","within copperhead range"
"900","48401","within copperhead range"
"901","13199","within copperhead range"
"902","13053","within copperhead range"
"903","29089","within copperhead range"
"904","39129","within copperhead range"
"905","51145","within copperhead range"
"906","47099","within copperhead range"
"907","45069","within copperhead range"
"908","31127","within copperhead range"
"909","37031","within copperhead range"
"910","20149","within copperhead range"
"911","45009","within copperhead range"
"912","18165","within copperhead range"
"913","37005","within copperhead range"
"914","51610","within copperhead range"
"915","39119","within copperhead range"
"916","28109","within copperhead range"
"917","28111","within copperhead range"
"918","12013","within copperhead range"
"919","21117","within copperhead range"
"920","37139","within copperhead range"
"921","28011","within copperhead range"
"922","47073","within copperhead range"
"923","42057","within copperhead range"
"924","22055","within copperhead range"
"925","29221","within copperhead range"
"926","48407","within copperhead range"
"927","51075","within copperhead range"
"928","39139","within copperhead range"
"929","17001","within copperhead range"
"930","39169","within copperhead range"
"931","13113","within copperhead range"
"932","13141","within copperhead range"
"933","36039","within copperhead range"
"934","51137","within copperhead range"
"935","40089","within copperhead range"
"936","01095","within copperhead range"
"937","47173","within copperhead range"
"938","54057","within copperhead range"
"939","22113","within copperhead range"
"940","05121","within copperhead range"
"941","22035","within copperhead range"
"942","22037","within copperhead range"
"943","22087","within copperhead range"
"944","48481","within copperhead range"
"945","21151","within copperhead range"
"946","47009","within copperhead range"
"947","45031","within copperhead range"
"948","01053","within copperhead range"
"949","13143","within copperhead range"
"950","20001","within copperhead range"
"951","17041","within copperhead range"
"952","51079","within copperhead range"
"953","05065","within copperhead range"
"954","29131","within copperhead range"
"955","37193","within copperhead range"
"956","29165","within copperhead range"
"957","29021","within copperhead range"
"958","01083","within copperhead range"
"959","24013","within copperhead range"
"960","21159","within copperhead range"
"961","21189","within copperhead range"
"962","54029","within copperhead range"
"963","29051","within copperhead range"
"964","42061","within copperhead range"
"965","51141","within copperhead range"
"966","17163","within copperhead range"
"967","17189","within copperhead range"
"968","42009","within copperhead range"
"969","05127","within copperhead range"
"970","20099","within copperhead range"
"971","42073","within copperhead range"
"972","39067","within copperhead range"
"973","37003","within copperhead range"
"974","51101","within copperhead range"
"975","47023","within copperhead range"
"976","17171","within copperhead range"
"977","48257","within copperhead range"
"978","47087","within copperhead range"
"979","17159","within copperhead range"
"980","01009","within copperhead range"
"981","29173","within copperhead range"
"982","13061","within copperhead range"
"983","48159","within copperhead range"
"984","51113","within copperhead range"
"985","40005","within copperhead range"
"986","13015","within copperhead range"
"987","40111","within copperhead range"
"988","20091","within copperhead range"
"989","24009","within copperhead range"
"990","28149","within copperhead range"
"991","29003","within copperhead range"
"992","29139","within copperhead range"
"993","20021","within copperhead range"
"994","37083","within copperhead range"
